epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1999683678150177,3.1193549633026123,1e-04,0.28165358304977417,2.5395679473876953
1,0.31264379620552063,2.4317753314971924,1e-04,0.31509456038475037,2.3940558433532715
2,0.3586343824863434,2.2162628173828125,1e-04,0.31642067432403564,2.331171751022339
3,0.3842613995075226,2.0960330963134766,1e-04,0.3300853371620178,2.3348355293273926
4,0.39927518367767334,2.0211434364318848,1e-04,0.3538976013660431,2.2297403812408447
5,0.41356995701789856,1.966821312904358,1e-04,0.3638145625591278,2.2096972465515137
6,0.4281379282474518,1.912808895111084,1e-04,0.3593173325061798,2.192962169647217
7,0.433947890996933,1.882592797279358,1e-04,0.3671586811542511,2.1642627716064453
8,0.44693395495414734,1.8401002883911133,1e-04,0.38099631667137146,2.125751495361328
9,0.4508455991744995,1.8237031698226929,1e-04,0.379266619682312,2.117467164993286
