epoch,accuracy,loss,lr,val_accuracy,val_loss
8,0.9136267900466919,1.4077965021133423,1e-05,0.9484391212463379,1.3077608346939087
9,0.9126622080802917,1.32462477684021,1e-05,0.9480884075164795,1.2264841794967651
10,0.9091765880584717,1.278285264968872,1e-05,0.9490529894828796,1.167629599571228
11,0.9052306413650513,1.244160771369934,1e-05,0.9489652514457703,1.132678508758545
12,0.9055594801902771,1.2208853960037231,1e-05,0.9498421549797058,1.104883074760437
13,0.9060636758804321,1.1977053880691528,1e-05,0.9494913816452026,1.0804705619812012
14,0.908190131187439,1.178805947303772,1e-05,0.9493160247802734,1.0589030981063843
15,0.9105357527732849,1.1596763134002686,1e-05,0.9510697722434998,1.039658784866333
16,0.9107111692428589,1.1448066234588623,1e-05,0.9498421549797058,1.0238983631134033
17,0.9122456908226013,1.135424017906189,1e-05,0.9518589973449707,1.0130367279052734
