label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Kaf,0.4909660816192627,0.916629672050476,1.5127429833228234e-06,0.61173415184021,0.838861346244812,-0.1186886206269264,0.6384037137031555,0.7385828495025635,-0.1701053231954574,0.4919891059398651,0.6871306896209717,-0.2073015570640564,0.3644361495971679,0.6680651903152466,-0.2445160299539566,0.5899165272712708,0.5735280513763428,-0.0909745916724205,0.5992353558540344,0.4341306388378143,-0.1511788517236709,0.5943677425384521,0.3424755334854126,-0.2088659554719925,0.5822297930717468,0.2593088448047638,-0.2527491748332977,0.4840918183326721,0.567963719367981,-0.0779128894209861,0.4909251630306244,0.4075078666210174,-0.1288332641124725,0.4844364523887634,0.3003438711166382,-0.1895672976970672,0.4755324721336365,0.2073317468166351,-0.2370213270187378,0.39071786403656,0.5933213829994202,-0.0785740315914154,0.3861378133296966,0.4451556801795959,-0.1323642134666443,0.3856299817562103,0.348049134016037,-0.1920313537120819,0.3851061463356018,0.2693441212177276,-0.2341623455286026,0.2975585460662842,0.6406351923942566,-0.0898421928286552,0.2908990383148193,0.5289915204048157,-0.1354869753122329,0.2924639582633972,0.4545637965202331,-0.1673839390277862,0.298618882894516,0.3850328028202057,-0.1930995881557464
Teh,0.344200074672699,0.8140982389450073,2.9207260467956075e-06,0.5000457763671875,0.8081591725349426,-0.1841425448656082,0.5745351910591125,0.7460222244262695,-0.2857037484645843,0.4355495274066925,0.6900127530097961,-0.3753654360771179,0.2790080904960632,0.6345904469490051,-0.4596374034881592,0.5740130543708801,0.5705934166908264,-0.1955388635396957,0.6081964373588562,0.4496604204177856,-0.3358907103538513,0.6209093928337097,0.3719492852687835,-0.4176867008209228,0.6331095695495605,0.3005126416683197,-0.463859885931015,0.4289028644561767,0.5507746934890747,-0.1949770599603653,0.4817785322666168,0.4123098254203796,-0.3483732938766479,0.5130802392959595,0.3216419816017151,-0.425656259059906,0.5396553874015808,0.241586297750473,-0.4534523487091064,0.2906600832939148,0.569665789604187,-0.2136789411306381,0.2528988718986511,0.5113427639007568,-0.4288628697395324,0.2827148735523224,0.6127150654792786,-0.4531879425048828,0.3166716694831848,0.6792106628417969,-0.4059520959854126,0.1624014675617218,0.612963080406189,-0.2443708777427673,0.1450918614864349,0.5948998928070068,-0.4130754470825195,0.1999858021736145,0.6645892858505249,-0.4149881601333618,0.2466904670000076,0.7084319591522217,-0.3738389909267425
Sheen,0.4354438185691833,0.7240995168685913,1.4438068092204048e-06,0.5506125688552856,0.6798713207244873,-0.0990302711725235,0.5997793674468994,0.5966404676437378,-0.1487285047769546,0.6106315851211548,0.5136496424674988,-0.1845173686742782,0.6269517540931702,0.436279147863388,-0.2215751707553863,0.5268231630325317,0.4939706325531006,-0.1378194391727447,0.5741955041885376,0.3861315846443176,-0.2082114666700363,0.599064826965332,0.3110798895359039,-0.2548490166664123,0.6148911714553833,0.2480141520500183,-0.2878202795982361,0.433615505695343,0.4884347319602966,-0.1299826353788375,0.4391094148159027,0.3640506863594055,-0.1977361440658569,0.4447924792766571,0.2797558605670929,-0.2469882816076278,0.4493579864501953,0.2038002014160156,-0.2822092771530151,0.3480759859085083,0.5126916766166687,-0.1300636827945709,0.3155676126480102,0.4028018116950989,-0.202121153473854,0.3032220900058746,0.3240637481212616,-0.2561420500278473,0.2981682419776916,0.2551588416099548,-0.2918048202991485,0.2753447890281677,0.5597581267356873,-0.1357025206089019,0.2145479321479797,0.4874981939792633,-0.2070444226264953,0.1746301352977752,0.4364287853240967,-0.2498586326837539,0.1428893506526947,0.3831767737865448,-0.2782218754291534
Tah,0.8177037239074707,0.7766611576080322,-4.308491554638749e-07,0.7916603088378906,0.7692896723747253,-0.1493154019117355,0.6895380616188049,0.6741240620613098,-0.1812045723199844,0.5899298787117004,0.5813438296318054,-0.1737445145845413,0.5120837092399597,0.4838513135910034,-0.1526505202054977,0.7634075880050659,0.3726911246776581,-0.1491632610559463,0.6349466443061829,0.2133285403251648,-0.1994381546974182,0.5617547035217285,0.128576785326004,-0.2246683090925216,0.4967816472053528,0.0431745946407318,-0.2411518543958664,0.7268686294555664,0.3900060653686523,-0.0831105783581733,0.6031978726387024,0.475902110338211,-0.1503524780273437,0.6437472105026245,0.6126502156257629,-0.1626395136117935,0.6983579993247986,0.625461220741272,-0.1545399725437164,0.6824660301208496,0.4346062839031219,-0.030154850333929,0.5926243662834167,0.5207679271697998,-0.1039516851305961,0.6459106206893921,0.6369649767875671,-0.111419066786766,0.6833388209342957,0.6190224885940552,-0.0970330014824867,0.6509609222412109,0.456521600484848,0.0122713083401322,0.5970056056976318,0.5427669286727905,-0.0499615631997585,0.6210592985153198,0.6387433409690857,-0.064548447728157,0.6410065293312073,0.6550283432006836,-0.0595987066626548
Sheen,0.4614518284797668,0.7043582201004028,1.077984393305087e-06,0.6074000000953674,0.6708832383155823,-0.0963155627250671,0.7024179100990295,0.5915901064872742,-0.1363531798124313,0.717033863067627,0.4939784407615661,-0.1656240820884704,0.7366523146629333,0.417303204536438,-0.1933487057685852,0.6306323409080505,0.4390010833740234,-0.0987803116440773,0.6967882513999939,0.3273004293441772,-0.1584565043449401,0.7301797866821289,0.2503396868705749,-0.2008908689022064,0.7528679370880127,0.185315191745758,-0.2312446534633636,0.5248383283615112,0.4152531623840332,-0.0909454450011253,0.5316324830055237,0.278330385684967,-0.1453463733196258,0.5298388004302979,0.1896411478519439,-0.1844217479228973,0.5274724364280701,0.118438720703125,-0.2104442715644836,0.4316005110740661,0.428322970867157,-0.0933011844754219,0.4010630249977112,0.3024886846542358,-0.1543716937303543,0.3855727612972259,0.2179907858371734,-0.1952478140592575,0.378802478313446,0.1483753323554992,-0.2203002274036407,0.345784842967987,0.4723748564720154,-0.1032506003975868,0.2702279984951019,0.3885422646999359,-0.1702917218208313,0.2234711349010467,0.3285291194915771,-0.2056956738233566,0.188846468925476,0.271319031715393,-0.2242778837680816
Qaf,0.4364478886127472,0.597123920917511,2.381666490691714e-07,0.3899460136890411,0.5498712062835693,-0.0341121405363082,0.3830770254135132,0.4903543591499328,-0.049324408173561,0.4043614864349365,0.440185010433197,-0.0676217675209045,0.4516810476779938,0.4106515944004059,-0.080144926905632,0.4208478331565857,0.4385643303394317,0.0279754064977169,0.4354935884475708,0.3907590806484222,-0.0136300744488835,0.4454756081104278,0.3763072192668915,-0.0476892180740833,0.4408061504364013,0.3942227661609649,-0.0634983703494072,0.4693234860897064,0.4476596415042877,0.0271596517413854,0.4968284368515014,0.3944593966007232,-0.0183844789862632,0.4923060238361358,0.3919122815132141,-0.0494141019880771,0.4756721556186676,0.4048403799533844,-0.0583332329988479,0.5076866149902344,0.4676514565944671,0.0163029488176107,0.5387018322944641,0.4192139208316803,-0.0288792755454778,0.5135564208030701,0.4540162086486816,-0.029644526541233,0.4914609789848327,0.4839834570884704,-0.0147055797278881,0.5490620136260986,0.4965509176254272,0.0011703228810802,0.5603392720222473,0.4680593013763428,-0.0279452707618474,0.5379152297973633,0.49022376537323,-0.0239668395370244,0.5212268829345703,0.5058735013008118,-0.010747448541224
Zah,0.4359997510910034,0.8459115028381348,-9.572058843332345e-07,0.3500139415264129,0.7875044345855713,0.0005917902453802,0.2965121865272522,0.7049868106842041,-0.0074914405122399,0.2538767755031585,0.6501754522323608,-0.0282366815954446,0.2100169956684112,0.608406126499176,-0.0517844408750534,0.4282084703445434,0.6067009568214417,0.0230039302259683,0.3802094757556915,0.5328248739242554,-0.005652317777276,0.3569727540016174,0.4811742007732391,-0.0250954274088144,0.3370177149772644,0.4365400671958923,-0.0426051430404186,0.4772080481052398,0.608173131942749,-0.0068820328451693,0.3406575322151184,0.5855897665023804,-0.0734599381685257,0.2514268457889557,0.6377843022346497,-0.0942664071917533,0.1999148577451706,0.6716480851173401,-0.0916604399681091,0.5159273147583008,0.6267792582511902,-0.0405110083520412,0.3724264502525329,0.6308136582374573,-0.1031686961650848,0.3729029893875122,0.6935641765594482,-0.0906357318162918,0.4050674140453338,0.7170044779777527,-0.0658755898475647,0.5389660000801086,0.6580597162246704,-0.0754919871687889,0.4109610319137573,0.6591483354568481,-0.1190883666276931,0.410655677318573,0.704352855682373,-0.1064925417304039,0.4518845379352569,0.7222537398338318,-0.0852482542395591
Alef,0.671764612197876,0.545179009437561,-1.0254092330796991e-06,0.7185015082359314,0.4586402773857116,-0.0875178948044776,0.6978957653045654,0.3753688335418701,-0.1396911591291427,0.6588350534439087,0.3098925650119781,-0.1764759272336959,0.6211756467819214,0.2343214601278305,-0.2082583457231521,0.5473542213439941,0.4015373885631561,-0.1886416524648666,0.7393976449966431,0.4368203580379486,-0.2575778663158417,0.7838991284370422,0.4650839567184448,-0.2833026051521301,0.739604115486145,0.4724934697151184,-0.3030345439910888,0.5046728849411011,0.4853128790855407,-0.1802835911512375,0.7390792369842529,0.5143716931343079,-0.2339353263378143,0.7667528986930847,0.5266799926757812,-0.2338605970144271,0.7181627154350281,0.5293788909912109,-0.2471873313188552,0.510725200176239,0.5605180263519287,-0.1739535182714462,0.7155967950820923,0.5832134485244751,-0.2253070771694183,0.7469329833984375,0.5877748727798462,-0.2006655633449554,0.7046012878417969,0.5855140686035156,-0.1924013495445251,0.5323320031166077,0.6271932721138,-0.1769217550754547,0.6807194948196411,0.6451945304870605,-0.2211531996726989,0.7170198559761047,0.6398760080337524,-0.2138291448354721,0.6996294260025024,0.637438178062439,-0.2102640718221664
Ain,0.2610706984996795,0.5539883971214294,6.130687779659638e-07,0.3395143747329712,0.4245884120464325,0.0145546700805425,0.4386284649372101,0.3992417156696319,0.0213315263390541,0.5053493976593018,0.4517142176628113,0.0242814663797616,0.5403174161911011,0.5027062296867371,0.0275294221937656,0.5204672813415527,0.4123580753803253,-0.0008863891707733,0.6420940160751343,0.4012034833431244,-0.004815365653485,0.7097245454788208,0.4005536735057831,-0.006183948367834,0.7635013461112976,0.405602753162384,-0.0043299682438373,0.5272362232208252,0.51152503490448,-0.0098704434931278,0.6471179127693176,0.4805858731269836,-0.0066630453802645,0.7267862558364868,0.4711092710494995,-0.0087920119985938,0.7849273681640625,0.474683403968811,-0.0095488633960485,0.511963963508606,0.608897864818573,-0.01510198879987,0.5497666597366333,0.574806272983551,-0.008914690464735,0.5145062208175659,0.5520942807197571,-0.0030326589476317,0.4719205200672149,0.5452433228492737,0.0049447934143245,0.4849482178688049,0.6867522597312927,-0.0197882242500782,0.5025932788848877,0.6379039287567139,-0.0083622923120856,0.4762707650661468,0.6164252758026123,0.0085318535566329,0.4453839361667633,0.6170750856399536,0.0247665103524923
Tah,0.2400420308113098,0.8181296586990356,1.2905508128824297e-06,0.4230976104736328,0.7576106786727905,-0.0288146678358316,0.5334362387657166,0.6531873941421509,-0.0832461938261985,0.6350564360618591,0.5944889783859253,-0.1504940241575241,0.7604476809501648,0.5525590181350708,-0.2139705419540405,0.3739630579948425,0.4727339148521423,-0.0716811865568161,0.3852403461933136,0.339319109916687,-0.169230118393898,0.4263188242912292,0.2539284527301788,-0.2352031022310257,0.4787552952766418,0.1891583800315857,-0.2821401953697204,0.2980713546276092,0.4756073355674743,-0.1209356114268302,0.5008960962295532,0.4281907379627228,-0.2753457725048065,0.6451941728591919,0.506304144859314,-0.331946462392807,0.7347137928009033,0.5847645998001099,-0.3380651175975799,0.255774438381195,0.5156493782997131,-0.1729266047477722,0.4904465675354004,0.5717746019363403,-0.2919960021972656,0.497659683227539,0.6838732361793518,-0.2708140909671783,0.4598813056945801,0.7427021265029907,-0.2271820455789566,0.2352800816297531,0.5742343664169312,-0.2327463179826736,0.4272234439849853,0.6487953066825867,-0.3016831874847412,0.4312783777713775,0.7268373966217041,-0.2774614989757538,0.3928485214710235,0.7598447203636169,-0.2411914318799972
