x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.4927803,0.7356827,3.34684e-07,0.59305155,0.685595,-0.029896548,0.64581764,0.6101884,-0.062029295,0.6736734,0.54548675,-0.10183503,0.6931136,0.48110238,-0.13634688,0.58094394,0.51904464,0.0026087973,0.6077656,0.460915,-0.0645352,0.65443367,0.44676515,-0.095821016,0.68859774,0.4542193,-0.10613015,0.51002395,0.5179694,-0.015096984,0.58355045,0.5051577,-0.09005893,0.5829606,0.5830093,-0.095348544,0.55573535,0.58866894,-0.077013,0.45276168,0.53420967,-0.045371775,0.5276019,0.54577345,-0.12834126,0.5351518,0.61690265,-0.10831894,0.5077524,0.6119408,-0.07349293,0.4004379,0.558916,-0.07863479,0.4743681,0.57892686,-0.13434757,0.48940325,0.6283361,-0.11889072,0.46335924,0.6260118,-0.092096224,Feh
0.47976625,0.79583347,-1.0773139e-06,0.36051562,0.73304284,-0.13627744,0.2508533,0.6090812,-0.23211853,0.18250674,0.49051207,-0.3267945,0.20775758,0.37316126,-0.40336198,0.34449685,0.40470034,-0.088645175,0.36900792,0.26615936,-0.2437416,0.31714574,0.24927925,-0.3025477,0.29472336,0.3002719,-0.31186754,0.47532937,0.41977167,-0.07523029,0.44378915,0.37386882,-0.22157824,0.39042494,0.5252348,-0.20236579,0.40551716,0.5357319,-0.14442037,0.60095716,0.46188575,-0.093915395,0.56265545,0.46791947,-0.23317084,0.4948269,0.59096086,-0.16296008,0.50804025,0.58474183,-0.07547641,0.7057365,0.5214057,-0.12834182,0.66530865,0.534248,-0.20418635,0.59505737,0.6109913,-0.1590091,0.59938884,0.61043227,-0.09957075,Feh
0.30489635,0.65705854,1.5411642e-07,0.42922643,0.5216046,0.11362764,0.4582019,0.42196512,0.1426868,0.4846885,0.34873796,0.1352335,0.5054712,0.29915857,0.12298284,0.31189758,0.29979587,0.10588772,0.5154815,0.25615415,0.07133261,0.64977574,0.27831325,0.032246612,0.7462317,0.30285913,0.0067334888,0.2899558,0.30505112,0.021847546,0.5364487,0.24951683,-0.014376574,0.68085134,0.28060427,-0.04293086,0.7760956,0.32460102,-0.059486948,0.29456863,0.33066872,-0.059019234,0.5332658,0.26750872,-0.08909528,0.67458606,0.2960557,-0.10114117,0.76397324,0.33853263,-0.1041044,0.32210475,0.3670754,-0.13279149,0.50290287,0.30392855,-0.146311,0.61572516,0.3088883,-0.14155324,0.7008442,0.32808158,-0.13496548,Hah
0.5586426,0.8488755,5.2696475e-07,0.46666986,0.8162462,-0.041135382,0.43019634,0.73798215,-0.054934397,0.42652243,0.66579664,-0.06411711,0.39412272,0.6128314,-0.073032215,0.48415208,0.6447041,-0.026494272,0.45130578,0.56146556,-0.05351898,0.43099087,0.5078332,-0.07751818,0.41684413,0.46177447,-0.09629377,0.5534359,0.63840914,-0.030864619,0.53566515,0.5434191,-0.05394823,0.52678883,0.48160294,-0.0807867,0.51867676,0.42883748,-0.10044209,0.616771,0.6564152,-0.041045874,0.63003725,0.56925154,-0.071702965,0.6396455,0.5144355,-0.09677683,0.64685345,0.4651064,-0.114094734,0.6760014,0.6900426,-0.054305486,0.7108129,0.62829745,-0.08524576,0.73571366,0.5893743,-0.09876106,0.75623345,0.5505039,-0.10707046,Sheen
0.5073359,0.59541684,-5.367386e-07,0.5585462,0.5326851,-0.08373798,0.572389,0.4474762,-0.13619432,0.5722314,0.36546725,-0.17302151,0.55902135,0.29358405,-0.20646733,0.42503178,0.4786303,-0.17483243,0.5859208,0.5159094,-0.22907282,0.57964677,0.51557976,-0.25265887,0.5405508,0.5087673,-0.2721654,0.38167596,0.5516849,-0.16027701,0.59611976,0.59455216,-0.19393823,0.56691194,0.579772,-0.1939881,0.515093,0.564093,-0.20944878,0.37722424,0.62275815,-0.14653333,0.56560266,0.6532977,-0.17786954,0.5463564,0.64273715,-0.15771836,0.49288678,0.62845594,-0.1530624,0.3901763,0.6897992,-0.14242984,0.52520734,0.7042713,-0.1735698,0.5187753,0.69169414,-0.16914359,0.47988173,0.68243855,-0.1682499,Alef
0.4501096,0.828918,1.5109715e-06,0.5831676,0.7734169,-0.14881289,0.6318064,0.6647672,-0.22245012,0.49797535,0.6160648,-0.27514693,0.3575487,0.61066526,-0.32960698,0.5738363,0.4933326,-0.16381143,0.57241386,0.35949266,-0.2501272,0.56037116,0.26798072,-0.32149616,0.54406106,0.18698579,-0.37350535,0.46197104,0.48692617,-0.1446023,0.4573378,0.32610023,-0.2232358,0.44980317,0.2171255,-0.29600456,0.44298694,0.120850176,-0.34942478,0.36706507,0.5124109,-0.1381565,0.35334498,0.36269498,-0.21548502,0.34841406,0.26387274,-0.28397283,0.34725565,0.18121761,-0.33015558,0.2748918,0.56150615,-0.14337651,0.26295972,0.45437533,-0.2100446,0.25641084,0.38240764,-0.25204432,0.24996683,0.31342825,-0.28343925,Kaf
0.4617936,0.8313494,-4.2843416e-07,0.5523978,0.79483104,-0.077573806,0.5928335,0.70911396,-0.11143611,0.550737,0.6269745,-0.1404855,0.5001954,0.55750155,-0.16226542,0.6308505,0.5818302,-0.033524383,0.649844,0.49369916,-0.10052395,0.6171238,0.50030744,-0.16165173,0.57772106,0.53649336,-0.19835602,0.54656476,0.55455804,-0.026038881,0.557558,0.43842694,-0.091020696,0.54216677,0.4551142,-0.15055022,0.53105044,0.49895915,-0.18376678,0.46148154,0.55307084,-0.030907625,0.45941946,0.43906805,-0.08761267,0.4589124,0.45337003,-0.13661276,0.4578687,0.49866134,-0.16355729,0.37877128,0.5801481,-0.042697504,0.38703564,0.53434634,-0.09208567,0.40212333,0.53186154,-0.12990545,0.41447604,0.5464113,-0.15346855,Heh
0.55860543,0.7274849,8.8509586e-07,0.40768272,0.6773014,-0.086511195,0.3182294,0.5883893,-0.112854175,0.2955249,0.49772805,-0.1306396,0.29600132,0.4115791,-0.1425903,0.40217906,0.45925444,-0.0016905625,0.38252002,0.34996116,-0.028685275,0.38113505,0.28090727,-0.06738129,0.3836972,0.22016546,-0.09765689,0.48209763,0.44371265,0.014382933,0.4679477,0.3216106,0.0016004001,0.46336645,0.24460652,-0.032699667,0.45704493,0.18129429,-0.062455017,0.5498935,0.4506904,0.014617153,0.55408394,0.3403014,-0.0005034867,0.5529342,0.2740963,-0.025748769,0.5483233,0.21716252,-0.04808124,0.6221397,0.4735502,0.0035620513,0.62797344,0.38668728,-0.010932347,0.6210357,0.33443546,-0.022534065,0.61115265,0.28394717,-0.034217153,Seen
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing
0.53606844,0.8917431,1.5895686e-06,0.62369114,0.77951026,0.0035355194,0.664127,0.6798482,-0.018751884,0.6725353,0.60741633,-0.058622822,0.6241938,0.5443603,-0.0921913,0.48448095,0.5762821,0.032220453,0.5175662,0.4578225,-0.017516099,0.5397887,0.3761441,-0.04882813,0.55578524,0.31107327,-0.063504465,0.41005063,0.58690816,-0.019391337,0.40947312,0.41376215,-0.08312107,0.4606,0.32498813,-0.104150556,0.5130988,0.2692573,-0.10010196,0.36412072,0.62032276,-0.07830385,0.5305913,0.53458005,-0.16374357,0.5842796,0.62291384,-0.14887609,0.5849267,0.68791604,-0.10784987,0.36560625,0.6631537,-0.1387192,0.5257653,0.5982267,-0.19207898,0.56442416,0.6666265,-0.16415827,0.546136,0.7208977,-0.12556972,Zain
0.25351655,0.8448372,1.5495757e-06,0.18258443,0.7438077,-0.16832164,0.2513365,0.63476115,-0.2347515,0.44113433,0.6062131,-0.2875938,0.598149,0.58623534,-0.328846,0.34633678,0.46112874,-0.100184605,0.42276296,0.29967365,-0.17484803,0.47246754,0.19535407,-0.2327994,0.52049685,0.110533416,-0.27368537,0.4646894,0.49137682,-0.073860995,0.53267646,0.3183454,-0.15322196,0.5743139,0.20265767,-0.21750437,0.61941206,0.103256434,-0.25596645,0.54793054,0.55607504,-0.06987837,0.6527758,0.4425584,-0.1988076,0.58938533,0.5126804,-0.25022718,0.5269474,0.57414657,-0.24928619,0.6191663,0.6387474,-0.07970082,0.72801924,0.55169815,-0.19181569,0.69176215,0.57581836,-0.22746925,0.6259388,0.61026627,-0.22930926,Teh
0.41591397,0.71176815,7.195056e-07,0.49558628,0.66556615,-0.06429122,0.52462375,0.5818906,-0.09364441,0.46048057,0.53168756,-0.123589545,0.37237516,0.4925532,-0.14732222,0.4790284,0.4503281,-0.01620494,0.473023,0.37302327,-0.072890855,0.46961233,0.32675576,-0.114157036,0.46295524,0.29824162,-0.140474,0.3949079,0.45819908,-0.024191763,0.36051306,0.37321502,-0.09998472,0.34636918,0.32537735,-0.1466049,0.32901216,0.28879827,-0.1671704,0.32641655,0.49544656,-0.04373237,0.30601892,0.44491503,-0.14268407,0.36233422,0.51899266,-0.15495075,0.3952618,0.5593232,-0.13667096,0.27291727,0.55180967,-0.068216346,0.28632203,0.5323719,-0.15094891,0.3351406,0.58217263,-0.15994321,0.35965168,0.60493314,-0.14798732,Teh_Marbuta
0.28465742,0.91287255,2.2660006e-06,0.48231402,0.8363316,-0.09294655,0.63832194,0.7144507,-0.12768705,0.7804483,0.61311436,-0.16476275,0.8938813,0.5589404,-0.19886987,0.4697328,0.5508476,-0.040576518,0.53186,0.39691553,-0.108073235,0.5544025,0.30247703,-0.15870605,0.5707909,0.20989248,-0.19539359,0.33580637,0.5367041,-0.04438178,0.30435053,0.37652564,-0.1541988,0.28019902,0.26141694,-0.23459998,0.26083505,0.15744191,-0.277545,0.21003398,0.56950194,-0.05665433,0.17336997,0.4673041,-0.20960033,0.21910211,0.5860801,-0.22796185,0.24804276,0.67507,-0.19372465,0.10060093,0.62662804,-0.074232064,0.06912103,0.5555174,-0.19787605,0.11780417,0.6299268,-0.19458298,0.15268147,0.6907633,-0.15846072,Al
0.6373193,0.8910063,1.2714202e-07,0.49971735,0.8166249,0.017559025,0.44634062,0.7317485,0.0049008625,0.3933677,0.67615324,-0.027172346,0.35073364,0.62136996,-0.05562954,0.57737863,0.6108673,0.0343052,0.51526463,0.52024126,-0.014169391,0.45759907,0.47496027,-0.049947508,0.400211,0.44995493,-0.06948767,0.62742126,0.6135459,-0.01639169,0.57072663,0.49004814,-0.09010721,0.48564637,0.4461629,-0.13366367,0.41262555,0.43834847,-0.14595251,0.64904946,0.6380341,-0.07074221,0.4661976,0.5868457,-0.13919628,0.39797735,0.65874785,-0.13506351,0.3844533,0.716022,-0.10815567,0.6339907,0.68077546,-0.1263587,0.4695276,0.65242654,-0.16190596,0.41068012,0.69550765,-0.14724264,0.395876,0.7330859,-0.123644,Zain
0.19792151,0.87910485,1.8983437e-06,0.24443796,0.79863894,-0.031670354,0.34904766,0.7149657,-0.082987964,0.4313866,0.65456975,-0.12864953,0.47710532,0.58519566,-0.17415093,0.35143957,0.70273566,-0.18379521,0.53198826,0.70668304,-0.26813743,0.6336373,0.7240319,-0.31035364,0.7171518,0.7395064,-0.33399332,0.3257134,0.7629788,-0.20687966,0.5509318,0.76714176,-0.2958396,0.66817236,0.7835853,-0.31880918,0.7608526,0.7939626,-0.33110088,0.30774185,0.8403212,-0.22155353,0.5164871,0.85531414,-0.29515138,0.46168923,0.86918706,-0.25690976,0.39331776,0.86844206,-0.21862087,0.29512173,0.91806906,-0.23747925,0.4597362,0.92828405,-0.28394872,0.42660934,0.927348,-0.24847317,0.36738253,0.91997606,-0.21363248,Ghain
0.43665004,0.9457174,8.5468326e-07,0.29952437,0.8584396,-0.029931743,0.25100264,0.7671904,-0.020750368,0.24938215,0.6869421,-0.0145279905,0.24000697,0.61345696,-0.0060610105,0.32278568,0.69813097,0.08430231,0.31613126,0.6016309,0.0763222,0.32487494,0.54270744,0.04198513,0.33499658,0.48471007,0.011389611,0.4003279,0.6910893,0.07796054,0.39047307,0.5834686,0.07336463,0.39213285,0.514557,0.02445219,0.390074,0.45023087,-0.017214129,0.46397793,0.69976234,0.058898546,0.4609226,0.59744906,0.045658045,0.45226353,0.5349824,0.0054313214,0.44402042,0.47827554,-0.027209416,0.5358192,0.7194965,0.034301884,0.5317733,0.6341082,0.019485487,0.52209824,0.581856,0.0008191229,0.50936747,0.52736443,-0.0166508,Seen
0.12467514,0.79141665,2.3893042e-06,0.17456964,0.66619736,-0.012742297,0.2886545,0.53835243,-0.05811538,0.3529837,0.44027776,-0.10650224,0.3508952,0.3430306,-0.15529455,0.2803845,0.50403965,-0.16210815,0.52930397,0.4805604,-0.25913942,0.67352504,0.47704828,-0.31127316,0.79124624,0.477359,-0.3423994,0.2608738,0.580745,-0.20681758,0.56636596,0.547253,-0.31368786,0.73617744,0.5421297,-0.35451543,0.8750461,0.5362952,-0.3807095,0.2609072,0.67493826,-0.2413084,0.51860124,0.6882557,-0.32738793,0.4509484,0.7117328,-0.29795957,0.36928135,0.70907533,-0.2677108,0.2647111,0.76581717,-0.27632877,0.4738543,0.77392536,-0.3256424,0.42166603,0.781127,-0.28891313,0.34073168,0.7740234,-0.25543275,Ghain
0.6720424,0.8001462,-5.313676e-07,0.6866358,0.74143374,-0.15798232,0.64275366,0.6309515,-0.20414734,0.54457486,0.5451341,-0.22759213,0.44530666,0.48010918,-0.23899503,0.6880571,0.49455872,-0.052622102,0.6164394,0.37203425,-0.12023499,0.5284746,0.39828852,-0.18807954,0.4695376,0.44982257,-0.2275522,0.60508657,0.5103774,0.0047120214,0.52586585,0.38370788,-0.07249694,0.4385654,0.41728503,-0.16645336,0.39511928,0.47041377,-0.21916535,0.53463703,0.5365,0.042225514,0.4664806,0.42996144,-0.02819053,0.39436135,0.45133725,-0.12215219,0.36119598,0.49857268,-0.17276886,0.49027234,0.57208043,0.06822668,0.43170887,0.4997075,0.00969801,0.38124895,0.5029567,-0.053649418,0.35515428,0.52921,-0.09236731,Heh
0.70402706,0.92929804,-1.9362267e-06,0.7914486,0.8578344,-0.14646149,0.81184554,0.69590354,-0.22469628,0.73832893,0.5701908,-0.29408827,0.63444984,0.50687635,-0.35120013,0.6616949,0.53348845,-0.12068639,0.6772443,0.38720867,-0.24060942,0.69355345,0.46654806,-0.30691907,0.69349194,0.5347885,-0.34022132,0.54235905,0.53752494,-0.10440328,0.49068418,0.363518,-0.27182126,0.53907007,0.50474894,-0.34559608,0.5831437,0.60909355,-0.36312586,0.42324036,0.5595459,-0.106582694,0.36633122,0.36700794,-0.2711667,0.4156267,0.48445415,-0.32692835,0.46456683,0.5850187,-0.3232193,0.31184304,0.6044168,-0.116157286,0.24505262,0.43637353,-0.21273845,0.20279837,0.34490126,-0.2584475,0.16611016,0.26588178,-0.275546,Meem
0.27631906,0.9200022,-1.62061e-07,0.42105892,0.7915969,0.03972688,0.455054,0.6798727,0.038844388,0.4673827,0.59626174,0.019666811,0.48262239,0.5188658,0.0023787546,0.29105055,0.58707315,0.021407735,0.4826238,0.5606323,-0.03484142,0.6028409,0.5951158,-0.07381561,0.6765964,0.62518245,-0.09817067,0.2501308,0.6005153,-0.033125006,0.48199096,0.58099174,-0.09660732,0.61669683,0.6200013,-0.12247755,0.70097977,0.656459,-0.13334031,0.23959088,0.6380897,-0.08973434,0.4671089,0.6146896,-0.15851527,0.5982632,0.6552029,-0.16181862,0.676661,0.6901342,-0.15113218,0.25291005,0.6919556,-0.14429642,0.43021315,0.6630918,-0.20524228,0.54094404,0.67836857,-0.21273291,0.61845535,0.69324756,-0.20509264,Khah
0.41467872,0.8308318,8.2941517e-07,0.5278988,0.74857295,-0.056978773,0.5669548,0.63146126,-0.07925938,0.44657612,0.5715717,-0.09906259,0.33207697,0.58604914,-0.121263824,0.50843924,0.51946115,-0.03986239,0.5065236,0.39583564,-0.079198815,0.4933382,0.31711465,-0.115849964,0.48055908,0.24836013,-0.14610103,0.41941804,0.5202638,-0.05085298,0.4257232,0.38750786,-0.08703629,0.42039403,0.29342607,-0.12757996,0.41200048,0.21183866,-0.16019756,0.34574074,0.5449915,-0.07028892,0.34008092,0.42083907,-0.10856454,0.33752698,0.33017236,-0.14982086,0.33014497,0.25319946,-0.18021835,0.27409956,0.58727825,-0.09585538,0.26502615,0.49126962,-0.13059375,0.2657619,0.41911817,-0.1538377,0.26301742,0.35328096,-0.17338054,Kaf
0.4644151,0.57779455,1.3822544e-06,0.5799094,0.5511884,-0.11637067,0.64027774,0.5059293,-0.17281865,0.667939,0.46291777,-0.21767475,0.68037593,0.41446882,-0.26322532,0.58193487,0.43424755,-0.09784985,0.5953653,0.37186325,-0.15006055,0.59844244,0.32979697,-0.19706944,0.5989533,0.29258394,-0.23376878,0.5023079,0.43084404,-0.081790864,0.51250416,0.3586847,-0.12776762,0.5208524,0.31113926,-0.17999583,0.53027797,0.267205,-0.2233763,0.42864564,0.43796125,-0.07907325,0.42995918,0.3743127,-0.12744036,0.44160748,0.3310187,-0.18021464,0.45498964,0.29301035,-0.22201325,0.35663074,0.45113048,-0.087205075,0.35332423,0.40379992,-0.13414109,0.3520521,0.37052658,-0.17318888,0.35527366,0.33798766,-0.20685337,Seen
